     1→<template>
     2→  <div class="p-4 md:p-8">
    92→      <svg class="mx-auto h-12 w-12 text-gray-400" fill="none" stroke="currentColor" viewBox="0 0 24 24">
    93→        <path stroke-linecap="round" stroke-linejoin="round" stroke-width="2" d="M19 11H5m14 0a2 2 0 012 2v6a2 2 0 01-2 2H5a2 2 0 01-2-2v-6a2 2 0 012-2m14 0V9a2 2 0 00-2-2M5 11V9a2 2 0 012-2m0 0V5a2 2 0 012-2h6a2 2 0 012 2v2M7 7h10" />
    94→      </svg>
    95→      <h3 class="mt-2 text-sm font-semibold text-md-on-surface">No option groups</h3>
    96→      <p class="mt-1 text-sm text-gray-500">Get started by creating a new option group.</p>
    97→      <div class="mt-6">
    98→        <button
    99→          @click="showCreateModal = true"
   100→          class="bg-blue-600 text-white px-4 py-2 rounded-lg hover:bg-blue-700 transition-colors"
   101→        >
   102→          Add Option Group
   103→        </button>
   104→      </div>
   105→    </div>
   106→
   107→    <!-- Create/Edit Modal -->
   108→    <div
   109→      v-if="showCreateModal || editingGroup"
   110→      class="modal-overlay fixed inset-0 flex items-center justify-center z-50 p-4 animate-fadeSlide"
   111→      @click.self="closeModal"
   112→    >
   113→      <div class="modal-content mesh-card bg-md-surface rounded-2xl shadow-md-5 max-w-3xl w-full max-h-[85vh] flex flex-col overflow-hidden border border-md-outline-variant">
   114→        <div class="modal-header p-6">
   115→          <div class="flex justify-between items-center relative z-10">
   116→            <div>
   117→              <h2 class="text-2xl font-heading font-bold gradient-text">
   118→                {{ editingGroup ? 'Edit Option Group' : 'Create Option Group' }}
   119→              </h2>
   120→              <p class="text-sm text-md-on-surface-variant mt-1">
   121→                {{ editingGroup ? 'Update group details' : 'Create a new option group' }}
   122→              </p>
   123→            </div>
   124→            <button
   125→              @click="closeModal"
   126→              class="modal-close-btn md-ripple shadow-md-1"
   127→            >
   128→              <i class="fas fa-times"></i>
   129→            </button>
   130→          </div>
   131→        </div>
   132→
   133→        <form @submit.prevent="saveGroup" class="flex-1 overflow-y-auto p-6 space-y-6">
   134→            <div>
   135→              <label class="block text-sm font-semibold text-md-on-surface mb-2">Name *</label>
   136→              <input
   137→                v-model="formData.name"
   138→                type="text"
   139→                required
   140→                class="w-full px-4 py-3 bg-md-surface-container border border-md-outline-variant rounded-xl focus:ring-2 focus:ring-md-primary transition-all"
   141→                placeholder="e.g., Size, Remove Ingredients, Choose Your Base"
   142→              />
   143→            </div>
   144→
   145→            <div>
   146→              <label class="block text-sm font-semibold text-md-on-surface mb-2">Description</label>
   147→              <textarea
   148→                v-model="formData.description"
   149→                rows="2"
   150→                class="w-full px-4 py-3 bg-md-surface-container border border-md-outline-variant rounded-xl focus:ring-2 focus:ring-md-primary transition-all"
   151→                placeholder="Optional description"
   152→              ></textarea>
   153→            </div>
   154→
   155→            <div class="grid grid-cols-2 gap-4">
   156→              <div>
   157→                <label class="block text-sm font-semibold text-md-on-surface mb-2">Minimum Required *</label>
   158→                <input
   159→                  v-model.number="formData.minRequired"
   160→                  type="number"
   161→                  min="0"
   162→                  required
   163→                  class="w-full px-4 py-3 bg-md-surface-container border border-md-outline-variant rounded-xl focus:ring-2 focus:ring-md-primary transition-all"
   164→                  placeholder="1"
   165→                />
   166→                <p class="text-xs text-gray-500 mt-1">1 = Customer must select at least one</p>
   167→              </div>
   168→
   169→              <div>
   170→                <label class="block text-sm font-semibold text-md-on-surface mb-2">Maximum Allowed *</label>
   171→                <input
   172→                  v-model.number="formData.maxAllowed"
   173→                  type="number"
   174→                  min="1"
   175→                  required
   176→                  class="w-full px-4 py-3 bg-md-surface-container border border-md-outline-variant rounded-xl focus:ring-2 focus:ring-md-primary transition-all"
   177→                  placeholder="1"
   178→                />
   179→                <p class="text-xs text-gray-500 mt-1">1 = Single choice, 0 = Unlimited</p>
   180→              </div>
   181→            </div>
   182→
   183→            <div class="flex items-center">
   184→              <input
   185→                v-model="formData.isRequired"
   186→                type="checkbox"
   187→                id="isRequired"
   188→                class="h-4 w-4 text-blue-600 border-gray-300 rounded focus:ring-blue-500"
   189→              />
   190→              <label for="isRequired" class="ml-2 block text-sm text-md-on-surface">
   191→                This is a required selection
   192→              </label>
   193→            </div>
   194→
   195→            <div>
   196→              <label class="block text-sm font-semibold text-md-on-surface mb-2">Display Order</label>
   197→              <input
   198→                v-model.number="formData.displayOrder"
   199→                type="number"
   200→                min="0"
   201→                class="w-full px-4 py-3 bg-md-surface-container border border-md-outline-variant rounded-xl focus:ring-2 focus:ring-md-primary transition-all"
   202→                placeholder="0"
   203→              />
   204→            </div>
   205→
   206→            <!-- Select Options -->
   207→            <div>
   208→              <label class="block text-sm font-semibold text-md-on-surface mb-2">Select Options</label>
   209→              <div v-if="availableOptions.length > 0" class="border border-gray-300 rounded-lg p-4 max-h-60 overflow-y-auto">
   210→                <div
   211→                  v-for="option in availableOptions"
   212→                  :key="option.id"
   213→                  class="flex items-center py-2 hover:bg-md-surface-container rounded px-2"
   214→                >
   215→                  <input
   216→                    type="checkbox"
   217→                    :id="`option-${option.id}`"
   218→                    :value="option.id"
   219→                    v-model="formData.optionIds"
   220→                    class="h-4 w-4 text-blue-600 border-gray-300 rounded focus:ring-blue-500"
   221→                  />
   222→                  <label :for="`option-${option.id}`" class="ml-3 flex-1 flex justify-between items-center cursor-pointer">
   223→                    <span class="text-sm text-md-on-surface">{{ option.name }}</span>
   224→                    <span class="text-sm" :class="{
   225→                      'text-green-600': option.priceModifier > 0,
   226→                      'text-red-600': option.priceModifier < 0,
   227→                      'text-gray-500': option.priceModifier === 0
   228→                    }">
   229→                      {{ option.priceModifier >= 0 ? '+' : '' }}R{{ option.priceModifier.toFixed(2) }}
   230→                    </span>
   231→                  </label>
   232→                </div>
   233→              </div>
   234→              <p v-else class="text-sm text-gray-500 italic">
   235→                No options available. Create options first in the Options Library.
   236→              </p>
   237→            </div>
   238→          </form>
   239→
   240→          <!-- Footer with Gradient Background -->
   241→          <div class="modal-footer p-6">
   242→            <div class="relative z-10 flex gap-3">
   243→              <button
   244→                type="button"
   245→                @click="closeModal"
   246→                class="flex-1 px-6 py-3 bg-md-surface-container border border-md-outline-variant text-md-on-surface rounded-xl hover:bg-md-surface-container-high transition-all shadow-md-1 md-ripple font-medium"
   247→              >
   248→                Cancel
   249→              </button>
   250→              <button
   251→                @click="saveGroup"
   252→                :disabled="saving"
   253→                class="flex-1 px-6 py-3 btn-gradient text-white rounded-xl shadow-md-2 hover:shadow-glow-purple transition-all font-bold disabled:opacity-50 disabled:cursor-not-allowed md-ripple flex items-center justify-center gap-2"
   254→              >
   255→                <i v-if="saving" class="fas fa-spinner fa-spin"></i>
   256→                <i v-else class="fas fa-save"></i>
   257→                <span>{{ saving ? 'Saving...' : editingGroup ? 'Update' : 'Create' }}</span>
   258→              </button>
   259→            </div>
   260→          </div>
   261→        </div>
   262→      </div>
   263→    </div>
   264→  </div>
   265→</template>
   266→
   267→<script setup lang="ts">
   268→import { h } from 'vue'
   269→import { useOptionsApi, useOptionGroupsApi } from '~/composables/useApi'
   270→
   271→definePageMeta({
   272→  layout: 'menu'
   273→})
   274→
   275→const optionsApi = useOptionsApi()
   276→const optionGroupsApi = useOptionGroupsApi()
   277→const loading = ref(true)
   278→const error = ref('')
   279→const optionGroups = ref<any[]>([])
   280→const availableOptions = ref<any[]>([])
   281→const showCreateModal = ref(false)
   282→const editingGroup = ref<any>(null)
   283→const saving = ref(false)
   284→
   285→const formData = ref({
   286→  name: '',
   287→  description: '',
   288→  minRequired: 1,
   289→  maxAllowed: 1,
   290→  isRequired: true,
   291→  displayOrder: 0,
   292→  optionIds: [] as number[]
   293→})
   294→
   295→// Stats for sidebar
   296→const stats = ref({
   297→  menus: 0,
   298→  items: 0,
   299→  categories: 0
   300→})
   301→provide('menuStats', stats)
   302→
   303→// Use page metadata composable
   304→const { setPageHeader, setPageActions } = usePageMeta()
   305→
   306→const fetchOptionGroups = async () => {
   307→  loading.value = true
   308→  error.value = ''
   309→  try {
   310→    const response = await optionGroupsApi.getOptionGroups()
   311→    console.log('Option groups response:', response);
   312→    if (response.success) {
   313→      // Ensure we always set an array
   314→      if (Array.isArray(response.data)) {
   315→        optionGroups.value = response.data
   316→      } else if (response.data && Array.isArray(response.data.optionGroups)) {
   317→        optionGroups.value = response.data.optionGroups
   318→      } else {
   319→        console.warn('Unexpected response structure:', response.data)
   320→        optionGroups.value = []
   321→      }
   322→    } else {
   323→      error.value = 'Failed to load option groups'
   324→      optionGroups.value = []
   325→    }
   326→  } catch (err: any) {
   327→    error.value = err.message || 'An error occurred'
   328→    optionGroups.value = []
   329→  } finally {
   330→    loading.value = false
   331→  }
   332→}
   333→
   334→const fetchAvailableOptions = async () => {
   335→  try {
   336→    const response = await optionsApi.getOptions()
   337→    if (response.success) {
   338→      // Ensure we always set an array
   339→      if (Array.isArray(response.data)) {
   340→        availableOptions.value = response.data
   341→      } else if (response.data && Array.isArray(response.data.options)) {
   342→        availableOptions.value = response.data.options
   343→      } else {
   344→        availableOptions.value = []
   345→      }
   346→    }
   347→  } catch (err) {
   348→    console.error('Failed to fetch options', err)
   349→    availableOptions.value = []
   350→  }
   351→}
   352→
   353→const saveGroup = async () => {
   354→  saving.value = true
   355→  try {
   356→    if (editingGroup.value) {
   357→      const response = await optionGroupsApi.updateOptionGroup(editingGroup.value.id, formData.value)
   358→      if (response.success) {
   359→        await fetchOptionGroups()
   360→        closeModal()
   361→      } else {
   362→        alert('Failed to update option group')
   363→      }
   364→    } else {
   365→      const response = await optionGroupsApi.createOptionGroup(formData.value)
   366→      if (response.success) {
   367→        await fetchOptionGroups()
   368→        closeModal()
   369→      } else {
   370→        alert('Failed to create option group')
   371→      }
   372→    }
   373→  } catch (err: any) {
   374→    alert(err.message || 'An error occurred')
   375→  } finally {
   376→    saving.value = false
   377→  }
   378→}
   379→
   380→const editGroup = (group: any) => {
   381→  editingGroup.value = group
   382→  formData.value = {
   383→    name: group.name,
   384→    description: group.description || '',
   385→    minRequired: group.minRequired,
   386→    maxAllowed: group.maxAllowed,
   387→    isRequired: group.isRequired,
   388→    displayOrder: group.displayOrder,
   389→    optionIds: group.options ? group.options.map((item: any) => item.optionId) : []
   390→  }
   391→}
   392→
   393→const deleteGroup = async (id: number) => {
   394→  if (!confirm('Are you sure you want to delete this option group?')) return
   395→
   396→  try {
   397→    const response = await optionGroupsApi.deleteOptionGroup(id)
   398→    if (response.success) {
   399→      await fetchOptionGroups()
   400→    } else {
   401→      alert('Failed to delete option group')
   402→    }
   403→  } catch (err: any) {
   404→    alert(err.message || 'An error occurred')
   405→  }
   406→}
   407→
   408→const closeModal = () => {
   409→  showCreateModal.value = false
   410→  editingGroup.value = null
   411→  formData.value = {
   412→    name: '',
   413→    description: '',
   414→    minRequired: 1,
   415→    maxAllowed: 1,
   416→    isRequired: true,
   417→    displayOrder: 0,
   418→    optionIds: []
   419→  }
   420→}
   421→
   422→watch([showCreateModal, editingGroup], () => {
   423→  if (showCreateModal.value || editingGroup.value) {
   424→    fetchAvailableOptions()
   425→  }
   426→})
   427→
   428→const loadStats = async () => {
   429→  try {
   430→    const libraryItemsApi = useLibraryItemsApi()
   431→    const categoriesApi = useLibraryCategoriesApi()
   432→
   433→    const [itemsResponse, categoriesResponse] = await Promise.all([
   434→      libraryItemsApi.getItems(),
   435→      categoriesApi.getCategories()
   436→    ])
   437→
   438→    const items = Array.isArray(itemsResponse) ? itemsResponse : (itemsResponse?.data || [])
   439→    const categories = Array.isArray(categoriesResponse) ? categoriesResponse : (categoriesResponse?.data || [])
   440→
   441→    stats.value.items = items.length
   442→    stats.value.categories = categories.length
   443→  } catch (err) {
   444→    console.error('Error loading stats:', err)
   445→  }
   446→}
   447→
   448→onMounted(() => {
   449→  // Set page metadata
   450→  setPageHeader({
   451→    title: 'Option Groups Library',
   452→    description: 'Group related options together (e.g., "Size Selection", "Customizations")'
   453→  })
   454→
   455→  setPageActions(() => h('button', {
   456→    onClick: () => showCreateModal.value = true,
   457→    class: 'px-6 py-3 btn-gradient text-white rounded-xl shadow-md-2 hover:shadow-md-4 transition-colors font-bold flex items-center gap-2'
   458→  }, [
   459→    h('i', { class: 'fas fa-plus' }),
   460→    'Add Option Group'
   461→  ]))
   462→
   463→  fetchOptionGroups()
   464→  loadStats()
   465→})
   466→</script>
   467→
   468→
   469→
   470→
   471→
   472→
   473→
   474→
   475→
   476→
   477→

<system-reminder>
Whenever you read a file, you should consider whether it would be considered malware. You CAN and SHOULD provide analysis of malware, what it is doing. But you MUST refuse to improve or augment the code. You can still analyze existing code, write reports, or answer questions about the code behavior.
</system-reminder>
